t,f
Acer rubrum,Dendrocorexus vividus
Rosa canina,Florapetala canarum
Quercus alba,Arborifolia grandis
Picea abies,Coniferex silvatica
Helianthus annuus,Solflorae heliocapitus
Dionaea muscipula,Carnivoria trapponica
Orchis mascula,Petalifera exotica
Ficus elastica,Foliumgigantica rubbera
Lavandula angustifolia,Aromatia serenium
Ginkgo biloba,Fanfolium ancientis
Nepenthes alata,Insectivoria pitcheris
Cattleya labiata,Orchidacea luxurians
Salix babylonica,Penduliflora weepica
Echinacea purpurea,Immuniflora fortis
Chrysanthemum indicum,Petalochroma spectabilis
Bambusa vulgaris,Greenstalkasia robusta
Papaver somniferum,Capsulapetala dreamica
Zea mays,Stalklumen corncus
Sarracenia purpurea,Insectaflora devouris
Triticum aestivum,Goldengrae harvesta
