t,f
Vive hoy,Carpe diem
Amor eterno,Amor vincit omnia
Sueños dorados,Aurea mediocritas
Tiempo vuela,Tempus fugit
Corazón valiente,Audere est facere
Estrella brillante,Sidere mens eadem
Mar tranquilo,Mare tranquillitatis
Sol radiante,Lux et veritas
Viento suave,Aura popularis
Montaña alta,Excelsior
Río profundo,Flumina profundis
Camino largo,Iter longum
Ojo vigilante,Oculus pro oculo
Voz potente,Vox populi
Mano amiga,Manus manum lavat
Verdad pura,Veritas lux mea
Fuego ardiente,Ignis aurum probat
Palabra sabia,Verbum sapienti
Silencio dorado,Auribus teneo lupum
Esperanza viva,Spes vitae
